missing,best_fixed_method,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.1,vision,0.03260000000000007,-0.013932999999999973,0.0020659999999999012,0.003966999999999943,-0.016533999999999993,-0.024800000000000044
0.2,audio,0.1539330000000001,-0.02113300000000007,-0.02843399999999996,-0.02763300000000002,-0.04423299999999997,-0.05149999999999999
0.3,vision,0.10786700000000005,-0.023367000000000027,-0.03149999999999997,-0.03169999999999995,-0.0802,-0.046665999999999985
0.4,text,-0.01626700000000003,-0.030267000000000044,0.020333000000000045,0.020299999999999985,-0.0043340000000000045,0.011199999999999988
0.5,vision,-0.03730000000000011,0.0043340000000000045,0.014734000000000025,0.00976699999999997,-0.043233999999999995,-0.03063300000000002
