dataset,phase,missing,mode,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.100000,dynamic_task_soft,-1,-1,-1,0.882800,0.008940,0.723800,0.013783,0.806433,0.008051,0.807700,0.009086,0.430033,0.031589,0.357600,0.008525,686.000000
mosi,full,0.100000,dynamic_task_soft,1,0,0,0.882800,0.008940,0.723800,0.013783,0.806433,0.008051,0.807700,0.009086,0.430033,0.031589,0.357600,0.008525,686.000000
mosi,full,0.200000,dynamic_task_soft,-1,-1,-1,1.093633,0.089004,0.654700,0.007503,0.744433,0.030279,0.744400,0.028999,0.356167,0.057054,0.309033,0.042250,686.000000
mosi,full,0.200000,dynamic_task_soft,1,0,0,1.093633,0.089004,0.654700,0.007503,0.744433,0.030279,0.744400,0.028999,0.356167,0.057054,0.309033,0.042250,686.000000
mosi,full,0.300000,dynamic_task_soft,-1,-1,-1,1.080300,0.050364,0.596800,0.015670,0.733233,0.027752,0.735600,0.027692,0.318733,0.017519,0.296867,0.010736,686.000000
mosi,full,0.300000,dynamic_task_soft,1,0,0,1.080300,0.050364,0.596800,0.015670,0.733233,0.027752,0.735600,0.027692,0.318733,0.017519,0.296867,0.010736,686.000000
