missing,method,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.1,dynamic_task_soft_tuned,0.017900000000000027,-0.011199999999999988,0.0020329999999999515,0.003766999999999965,-0.010666999999999982,-0.02140000000000003
0.2,dynamic_task_soft_tuned,0.05276600000000009,0.014466999999999897,-0.02286699999999997,-0.022300000000000098,0.005334000000000005,0.0019660000000000233
0.3,dynamic_task_soft_tuned,0.019333000000000045,-0.008499999999999952,-0.00763400000000003,-0.003932999999999964,-0.017500000000000016,-0.007833000000000034
0.4,dynamic_task_soft_tuned,-0.0025330000000001185,-0.03300000000000003,-0.0010329999999999506,-0.000300000000000078,-0.010633999999999977,0.0029000000000000137
0.5,dynamic_task_soft_tuned,-0.0866340000000001,0.08743400000000001,0.06146700000000005,0.04496699999999998,0.042266000000000026,0.031066999999999984
