missing,text_MAE,text_Corr,text_Non0_acc_2,text_Non0_F1_score,audio_MAE,audio_Corr,audio_Non0_acc_2,audio_Non0_F1_score,vision_MAE,vision_Corr,vision_Non0_acc_2,vision_Non0_F1_score,dynamic_soft_MAE,dynamic_soft_Corr,dynamic_soft_Non0_acc_2,dynamic_soft_Non0_F1_score,dynamic_soft_moe_MAE,dynamic_soft_moe_Corr,dynamic_soft_moe_Non0_acc_2,dynamic_soft_moe_Non0_F1_score
0.100000,0.892467,0.730267,0.804900,0.804600,0.884967,0.731100,0.801833,0.802567,0.850200,0.737733,0.804367,0.803733,0.864900,0.735000,0.804400,0.803933,0.897600,0.716700,0.788100,0.788000
0.200000,1.031433,0.657467,0.758633,0.757733,0.939700,0.675833,0.772867,0.772033,0.942100,0.672433,0.785600,0.785367,1.040867,0.640233,0.767300,0.766700,1.054067,0.649400,0.752033,0.751767
0.300000,1.077033,0.616667,0.729167,0.733400,1.084633,0.611333,0.744900,0.745700,0.972433,0.620167,0.764733,0.767300,1.060967,0.605300,0.740867,0.739533,1.000800,0.614767,0.749500,0.749733
0.400000,1.105867,0.549667,0.705267,0.704533,1.134667,0.533367,0.711367,0.710167,1.221933,0.524067,0.702233,0.704867,1.092133,0.552400,0.726633,0.725133,1.159600,0.526367,0.714433,0.721100
0.500000,1.259267,0.464733,0.662600,0.666833,1.277600,0.456000,0.645833,0.652633,1.249433,0.461933,0.670733,0.676300,1.298767,0.378833,0.624000,0.641100,1.348567,0.449033,0.612300,0.657767
