missing,mode,router_oracle_match_rate,mean_w_text,mean_w_audio,mean_w_vision,mean_oracle_w_text,mean_oracle_w_audio,mean_oracle_w_vision,selected_text_ratio,selected_audio_ratio,selected_vision_ratio,oracle_text_ratio,oracle_audio_ratio,oracle_vision_ratio,entropy_router,entropy_oracle,corr_router_oracle_text,corr_router_oracle_audio,corr_router_oracle_vision,corr_availability_text_w_text,corr_availability_audio_w_audio,corr_availability_vision_w_vision
0.400000,dynamic_task_soft,0.317784,0.320606,0.335873,0.343521,0.332963,0.333103,0.333934,0.289116,0.317298,0.393586,0.301263,0.318756,0.379981,1.081803,1.098299,-0.056295,-0.066181,-0.035147,0.890514,0.776784,0.787071
0.500000,dynamic_task_soft,0.353256,0.568906,0.234871,0.196223,0.337703,0.326609,0.335688,0.622449,0.313411,0.064140,0.303693,0.314383,0.381924,0.719173,1.089742,0.046562,0.055591,-0.068208,0.653732,0.603719,0.635721
