missing,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.1,0.06763299999999994,-0.0029000000000000137,0.0055670000000001,0.004167000000000032,-0.05780000000000002,-0.02183299999999999
0.2,-0.1439330000000001,-6.699999999992823e-05,0.030966999999999967,0.03160000000000007,0.037432999999999994,0.047599999999999976
0.3,0.028966999999999965,-0.01213299999999995,-0.011666000000000065,-0.007233000000000045,-0.019399999999999973,-0.029633999999999994
0.4,0.0907,0.02200000000000002,-0.03049999999999997,-0.020532999999999912,-0.06173300000000001,-0.05539999999999998
0.5,-0.023532999999999804,-0.007233999999999963,0.0010329999999999506,0.0007329999999999837,0.03109999999999996,0.026266999999999985
