missing,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7,best_fixed_method
0.1,0.10023300000000002,-0.016832999999999987,0.007633000000000001,0.008133999999999975,-0.07433400000000001,-0.046633000000000036,vision
0.2,0.010000000000000009,-0.021199999999999997,0.0025330000000000075,0.003967000000000054,-0.006799999999999973,-0.0039000000000000146,audio
0.3,0.136834,-0.035499999999999976,-0.04316600000000004,-0.038932999999999995,-0.09959999999999997,-0.07629999999999998,vision
0.4,0.07443299999999997,-0.008267000000000024,-0.010166999999999926,-0.0002329999999999277,-0.06606700000000001,-0.04419999999999999,text
0.5,-0.060832999999999915,-0.002899999999999958,0.015766999999999975,0.010499999999999954,-0.012134000000000034,-0.0043660000000000365,vision
