missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,best_fixed_mode,MAE_fixed,Corr_fixed,Non0_acc_2_fixed,Non0_F1_score_fixed,Mult_acc_5_fixed,Mult_acc_7_fixed,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.146200,0.545433,0.712900,0.719433,0.255600,0.248800,text,1.105867,0.549667,0.705267,0.704533,0.314367,0.280833,0.040333,-0.004234,0.007633,0.014900,-0.058767,-0.032033
0.500000,dynamic_task_soft,1.166833,0.467033,0.701200,0.701867,0.262867,0.253667,vision,1.249433,0.461933,0.670733,0.676300,0.300767,0.271633,-0.082600,0.005100,0.030467,0.025567,-0.037900,-0.017966
