dataset,phase,missing,mode,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.400000,dynamic_task_soft,-1,-1,-1,1.146200,0.030231,0.545433,0.005577,0.712900,0.016719,0.719433,0.011998,0.255600,0.019919,0.248800,0.016402,686.000000
mosi,full,0.400000,dynamic_task_soft,1,0,0,1.146200,0.030231,0.545433,0.005577,0.712900,0.016719,0.719433,0.011998,0.255600,0.019919,0.248800,0.016402,686.000000
mosi,full,0.500000,dynamic_task_soft,-1,-1,-1,1.166833,0.017065,0.467033,0.025489,0.701200,0.008450,0.701867,0.009943,0.262867,0.024778,0.253667,0.019064,686.000000
mosi,full,0.500000,dynamic_task_soft,1,0,0,1.166833,0.017065,0.467033,0.025489,0.701200,0.008450,0.701867,0.009943,0.262867,0.024778,0.253667,0.019064,686.000000
