missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.146200,0.545433,0.712900,0.719433,0.255600,0.248800,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,0.054067,-0.006967,-0.013733,-0.005700,-0.065067,-0.040333
0.500000,dynamic_task_soft,1.166833,0.467033,0.701200,0.701867,0.262867,0.253667,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,-0.131934,0.088200,0.077200,0.060767,0.047600,0.043734
