dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.721600,0.721800,0.724100,0.723200,0.259500,0.249300,1.143600,0.557800,1.143700
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.711400,0.715000,0.724100,0.726800,0.303200,0.274100,1.085300,0.524000,1.084200
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.711400,0.714000,0.721000,0.723000,0.293000,0.279900,1.102900,0.551700,1.098900
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.721600,0.721800,0.724100,0.723200,0.259500,0.249300,1.143600,0.557800,1.143700
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.711400,0.715000,0.724100,0.726800,0.303200,0.274100,1.085300,0.524000,1.084200
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.711400,0.714000,0.721000,0.723000,0.293000,0.279900,1.102900,0.551700,1.098900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.680800,0.683100,0.684500,0.685700,0.209900,0.199700,1.265500,0.476300,1.270300
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.517500,0.607200,0.498500,0.587500,0.169100,0.166200,1.392500,0.438900,1.396700
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.656000,0.662400,0.652400,0.657300,0.211400,0.201200,1.280200,0.471300,1.284100
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.680800,0.683100,0.684500,0.685700,0.209900,0.199700,1.265500,0.476300,1.270300
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.517500,0.607200,0.498500,0.587500,0.169100,0.166200,1.392500,0.438900,1.396700
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.3/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.656000,0.662400,0.652400,0.657300,0.211400,0.201200,1.280200,0.471300,1.284100
