missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.110600,0.544500,0.723067,0.724333,0.285233,0.267767,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,0.018467,-0.007900,-0.003566,-0.000800,-0.035434,-0.021366
0.500000,dynamic_task_soft,1.312733,0.462167,0.611800,0.643500,0.196800,0.189033,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,0.013966,0.083334,-0.012200,0.002400,-0.018467,-0.020900
