missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.095233,0.535167,0.715933,0.718167,0.294933,0.272600,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,0.003100,-0.017233,-0.010700,-0.006966,-0.025734,-0.016533
0.500000,dynamic_task_soft,1.224167,0.442033,0.683933,0.684500,0.240533,0.232267,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,-0.074600,0.063200,0.059933,0.043400,0.025266,0.022334
