missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,best_fixed_mode,MAE_fixed,Corr_fixed,Non0_acc_2_fixed,Non0_F1_score_fixed,Mult_acc_5_fixed,Mult_acc_7_fixed,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.095233,0.535167,0.715933,0.718167,0.294933,0.272600,text,1.105867,0.549667,0.705267,0.704533,0.314367,0.280833,-0.010634,-0.014500,0.010666,0.013634,-0.019434,-0.008233
0.500000,dynamic_task_soft,1.224167,0.442033,0.683933,0.684500,0.240533,0.232267,vision,1.249433,0.461933,0.670733,0.676300,0.300767,0.271633,-0.025266,-0.019900,0.013200,0.008200,-0.060234,-0.039366
