dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.691000,0.701500,0.707300,0.716500,0.301700,0.277000,1.086600,0.498600,1.085300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.717200,0.717100,0.725600,0.724700,0.332400,0.298800,1.066600,0.553900,1.063300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.715700,0.715200,0.714900,0.713300,0.250700,0.242000,1.132500,0.553000,1.132900
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.691000,0.701500,0.707300,0.716500,0.301700,0.277000,1.086600,0.498600,1.085300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.717200,0.717100,0.725600,0.724700,0.332400,0.298800,1.066600,0.553900,1.063300
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.715700,0.715200,0.714900,0.713300,0.250700,0.242000,1.132500,0.553000,1.132900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.653100,0.657100,0.649400,0.651900,0.233200,0.230300,1.250100,0.464100,1.254100
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.692400,0.694000,0.707300,0.707800,0.290100,0.277000,1.140800,0.449300,1.137900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.698300,0.698200,0.695100,0.693800,0.198300,0.189500,1.281600,0.412700,1.285000
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.653100,0.657100,0.649400,0.651900,0.233200,0.230300,1.250100,0.464100,1.254100
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.692400,0.694000,0.707300,0.707800,0.290100,0.277000,1.140800,0.449300,1.137900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.5/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.698300,0.698200,0.695100,0.693800,0.198300,0.189500,1.281600,0.412700,1.285000
