missing,mode,mean_w_text,mean_w_audio,mean_w_vision,selected_text_ratio,selected_audio_ratio,selected_vision_ratio,entropy,is_router_collapsed,dominant_anchor,dominant_anchor_ratio,corr_availability_text_w_text,corr_availability_audio_w_audio,corr_availability_vision_w_vision
0.3,dynamic_soft,0.333307,0.333538,0.333155,0.333333,0.333333,0.333333,0.002426,False,audio,0.333538,0.531279,0.517307,0.466605
0.3,dynamic_soft_moe,0.198641,0.69563,0.10573,0.185516,0.814484,0.0,0.622213,False,audio,0.69563,0.818517,0.704875,0.66974
0.4,dynamic_soft,0.99947,0.000419,0.000111,1.0,0.0,0.0,0.004208,True,text,0.99947,0.529134,0.322975,0.36369
0.4,dynamic_soft_moe,0.009226,0.540051,0.450722,0.0,0.659226,0.340774,0.252131,False,audio,0.540051,0.558953,0.434065,0.462737
0.5,dynamic_soft,0.334678,0.33439,0.330932,0.333333,0.333333,0.333333,0.017219,False,text,0.334678,0.521304,0.450496,0.354936
0.5,dynamic_soft_moe,0.087076,0.557831,0.355093,0.000992,0.665675,0.333333,0.267983,False,audio,0.557831,0.603624,0.431433,0.502641
