missing,best_MAE_method,best_MAE,best_Corr_method,best_Corr,best_Non0_acc_2_method,best_Non0_acc_2,best_Non0_F1_method,best_Non0_F1
0.400000,dynamic_rta,1.271100,dynamic_rta,0.337200,dynamic_rta,0.638700,dynamic_rta,0.646400
0.500000,dynamic_rta,1.123500,dynamic_rta,0.516500,dynamic_rta,0.722600,dynamic_rta,0.721000
