missing,best_MAE_method,best_MAE,best_Corr_method,best_Corr,best_Non0_acc_2_method,best_Non0_acc_2,best_Non0_F1_method,best_Non0_F1
0.400000,dynamic_task_soft,1.089600,dynamic_task_soft,0.519400,dynamic_task_soft,0.725600,dynamic_task_soft,0.724833
0.500000,dynamic_task_soft,1.212133,dynamic_task_soft,0.466267,dynamic_task_soft,0.685467,dynamic_task_soft,0.686067
