missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.089600,0.519400,0.725600,0.724833,0.310033,0.292033,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,-0.002533,-0.033000,-0.001033,-0.000300,-0.010634,0.002900
0.500000,dynamic_task_soft,1.212133,0.466267,0.685467,0.686067,0.257533,0.241000,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,-0.086634,0.087434,0.061467,0.044967,0.042266,0.031067
