dataset,phase,missing,mode,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.300000,dynamic_task_soft,-1,-1,-1,1.015633,0.032552,0.620600,0.001153,0.748500,0.007600,0.747700,0.008216,0.388733,0.012529,0.346000,0.006755,686.000000
mosi,full,0.400000,dynamic_task_soft,-1,-1,-1,1.160333,0.082819,0.540100,0.003251,0.710367,0.026036,0.711433,0.022651,0.286200,0.032866,0.267233,0.030352,686.000000
mosi,full,0.500000,dynamic_task_soft,-1,-1,-1,1.242400,0.053900,0.449867,0.019367,0.667667,0.034352,0.671433,0.025231,0.227867,0.022604,0.221067,0.017818,686.000000
