missing,best_MAE_method,best_MAE,best_Corr_method,best_Corr,best_Non0_acc_2_method,best_Non0_acc_2,best_Non0_F1_method,best_Non0_F1
0.400000,dynamic_task_soft,1.127733,dynamic_task_soft,0.547200,dynamic_task_soft,0.720533,dynamic_task_soft,0.720267
0.500000,dynamic_task_soft,1.250067,dynamic_task_soft,0.449833,dynamic_task_soft,0.649900,dynamic_task_soft,0.668333
