missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.160333,0.540100,0.710367,0.711433,0.286200,0.267233,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,0.068200,-0.012300,-0.016266,-0.013700,-0.034467,-0.021900
0.500000,dynamic_task_soft,1.242400,0.449867,0.667667,0.671433,0.227867,0.221067,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,-0.056367,0.071034,0.043667,0.030333,0.012600,0.011134
