modality,metric,baseline,drop_at_max_missing,avg_drop_auc,sensitivity_score
text,Corr,0.7843000000000001,0.6309000000000001,0.3180125000000001,0.3180125000000001
vision,Corr,0.7843000000000001,0.011800000000000144,0.005075000000000093,0.005075000000000093
audio,Corr,0.7843000000000001,0.0,,
