Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(65.6, 3.76)","(67.68, 0.98)","(66.51, 2.83)","(68.37, 0.65)","(26.33, 1.64)","(25.02, 1.35)","(121.88, 3.95)","(41.28, 7.64)","(121.18, 4.08)"
mfmb_net,"(65.6, 3.76)","(67.68, 0.98)","(66.51, 2.83)","(68.37, 0.65)","(26.33, 1.64)","(25.02, 1.35)","(121.88, 3.95)","(41.28, 7.64)","(121.18, 4.08)"
