Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(77.55, 2.09)","(77.66, 2.01)","(78.61, 2.9)","(78.64, 2.84)","(32.9, 4.64)","(29.74, 3.22)","(97.11, 10.1)","(69.87, 0.08)","(96.59, 10.16)"
mfmb_net,"(79.01, 0.63)","(79.04, 0.66)","(80.54, 0.69)","(80.5, 0.72)","(44.17, 1.4)","(38.24, 1.08)","(84.29, 2.38)","(74.0, 0.56)","(83.99, 2.34)"
