dataset,phase,missing,mode,train_drop_last,eval_drop_last,test_drop_last,MAE_mean,MAE_std,Corr_mean,Corr_std,Non0_acc_2_mean,Non0_acc_2_std,Non0_F1_score_mean,Non0_F1_score_std,Mult_acc_5_mean,Mult_acc_5_std,Mult_acc_7_mean,Mult_acc_7_std,effective_test_samples
mosi,full,0.400000,dynamic_task_soft,-1,-1,-1,1.205033,0.087983,0.515633,0.050650,0.671733,0.051060,0.676100,0.043301,0.270200,0.054056,0.248300,0.039440,686.000000
mosi,full,0.400000,dynamic_task_soft,1,0,0,1.205033,0.087983,0.515633,0.050650,0.671733,0.051060,0.676100,0.043301,0.270200,0.054056,0.248300,0.039440,686.000000
mosi,full,0.500000,dynamic_task_soft,-1,-1,-1,1.305767,0.150962,0.416200,0.124951,0.567567,0.139484,0.624033,0.078569,0.234233,0.056290,0.226433,0.050882,686.000000
mosi,full,0.500000,dynamic_task_soft,1,0,0,1.305767,0.150962,0.416200,0.124951,0.567567,0.139484,0.624033,0.078569,0.234233,0.056290,0.226433,0.050882,686.000000
