missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE_ds,Corr_ds,Non0_acc_2_ds,Non0_F1_score_ds,Mult_acc_5_ds,Mult_acc_7_ds,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.191000,0.522233,0.688033,0.692833,0.265800,0.245400,1.092133,0.552400,0.726633,0.725133,0.320667,0.289133,0.098867,-0.030167,-0.038600,-0.032300,-0.054867,-0.043733
0.500000,dynamic_task_soft,1.324267,0.379667,0.599100,0.613067,0.190967,0.188033,1.298767,0.378833,0.624000,0.641100,0.215267,0.209933,0.025500,0.000834,-0.024900,-0.028033,-0.024300,-0.021900
