missing,mode,MAE,Corr,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,best_fixed_mode,MAE_fixed,Corr_fixed,Non0_acc_2_fixed,Non0_F1_score_fixed,Mult_acc_5_fixed,Mult_acc_7_fixed,delta_MAE,delta_Corr,delta_Non0_acc_2,delta_Non0_F1_score,delta_Mult_acc_5,delta_Mult_acc_7
0.400000,dynamic_task_soft,1.191000,0.522233,0.688033,0.692833,0.265800,0.245400,text,1.105867,0.549667,0.705267,0.704533,0.314367,0.280833,0.085133,-0.027434,-0.017234,-0.011700,-0.048567,-0.035433
0.500000,dynamic_task_soft,1.324267,0.379667,0.599100,0.613067,0.190967,0.188033,vision,1.249433,0.461933,0.670733,0.676300,0.300767,0.271633,0.074834,-0.082266,-0.071633,-0.063233,-0.109800,-0.083600
