dataset,missing,mode,phase,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.660300,0.676800,0.655500,0.670500,0.247800,0.231800,1.245400,0.551300,1.247900
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.712800,0.715100,0.710400,0.711300,0.287200,0.256600,1.171700,0.544900,1.173100
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.696800,0.696400,0.698200,0.696700,0.262400,0.247800,1.155900,0.470500,1.149400
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.660300,0.676800,0.655500,0.670500,0.247800,0.231800,1.245400,0.551300,1.247900
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.712800,0.715100,0.710400,0.711300,0.287200,0.256600,1.171700,0.544900,1.173100
mosi,0.400000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.4_dynamic_task_soft_full.log,0.696800,0.696400,0.698200,0.696700,0.262400,0.247800,1.155900,0.470500,1.149400
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.603500,0.626400,0.597600,0.619400,0.204100,0.195300,1.309400,0.472200,1.311400
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.578700,0.589500,0.577700,0.587600,0.176400,0.176400,1.380700,0.229000,1.383900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,-1,-1,-1,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.628300,0.640200,0.622000,0.632200,0.192400,0.192400,1.282700,0.437800,1.277800
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.603500,0.626400,0.597600,0.619400,0.204100,0.195300,1.309400,0.472200,1.311400
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,1111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.578700,0.589500,0.577700,0.587600,0.176400,0.176400,1.380700,0.229000,1.383900
mosi,0.500000,dynamic_task_soft,full,dynamic_task_soft,0,11111,1,0,0,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_taskrouter_tune/lambda0.05_temp0.8/logs/mosi_missing0.5_dynamic_task_soft_full.log,0.628300,0.640200,0.622000,0.632200,0.192400,0.192400,1.282700,0.437800,1.277800
