Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(73.86, 1.22)","(73.86, 1.16)","(74.52, 0.98)","(74.44, 0.93)","(31.5, 3.41)","(29.91, 2.61)","(108.22, 4.33)","(56.34, 0.82)","(108.22, 4.33)"
mfmb_net,"(73.86, 1.22)","(73.86, 1.16)","(74.52, 0.98)","(74.44, 0.93)","(31.5, 3.41)","(29.91, 2.61)","(108.22, 4.33)","(56.34, 0.82)","(108.22, 4.33)"
