Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(65.33, 1.35)","(65.92, 0.88)","(65.02, 1.77)","(65.48, 1.33)","(24.95, 0.43)","(22.97, 0.81)","(127.76, 2.62)","(46.04, 1.81)","(127.76, 2.62)"
mfmb_net,"(64.58, 2.66)","(65.37, 2.07)","(64.66, 3.12)","(65.33, 2.52)","(26.14, 1.48)","(24.15, 0.56)","(128.15, 7.95)","(45.12, 1.41)","(128.15, 7.95)"
mfmb_net,"(66.02, 3.15)","(66.83, 2.14)","(65.75, 3.77)","(66.41, 2.79)","(27.68, 1.46)","(25.55, 1.62)","(127.23, 7.76)","(47.11, 2.38)","(127.23, 7.76)"
mfmb_net,"(62.9, 5.81)","(64.47, 4.44)","(62.46, 6.69)","(63.88, 5.34)","(22.77, 4.59)","(21.88, 3.79)","(129.9, 9.74)","(37.41, 9.82)","(129.9, 9.74)"
mfmb_net,"(61.66, 9.88)","(66.28, 3.69)","(61.38, 11.27)","(65.95, 5.04)","(25.34, 3.32)","(24.11, 3.44)","(134.78, 23.78)","(44.71, 3.57)","(134.78, 23.78)"
mfmb_net,"(65.03, 0.0)","(65.43, 0.0)","(64.54, 0.0)","(64.78, 0.0)","(25.0, 0.0)","(23.21, 0.0)","(127.65, 0.0)","(45.4, 0.0)","(127.65, 0.0)"
mfmb_net,"(67.64, 0.0)","(67.91, 0.0)","(67.68, 0.0)","(67.82, 0.0)","(23.76, 0.0)","(23.18, 0.0)","(122.92, 0.0)","(46.03, 0.0)","(122.94, 0.0)"
mfmb_net,"(66.42, 1.82)","(66.99, 1.24)","(66.26, 2.23)","(66.68, 1.66)","(24.49, 0.6)","(22.89, 0.74)","(125.93, 3.21)","(46.47, 1.72)","(125.76, 3.02)"
mfmb_net,"(64.48, 2.66)","(65.27, 2.06)","(64.58, 3.16)","(65.26, 2.56)","(26.38, 1.6)","(24.35, 0.54)","(127.76, 8.1)","(45.6, 1.65)","(127.49, 8.22)"
mfmb_net,"(67.2, 3.65)","(67.89, 2.6)","(67.07, 4.34)","(67.63, 3.33)","(30.08, 1.85)","(27.16, 1.89)","(124.94, 8.78)","(46.19, 0.88)","(124.29, 8.68)"
mfmb_net,"(62.63, 5.44)","(64.52, 4.38)","(62.4, 6.54)","(64.11, 5.52)","(21.53, 3.33)","(20.99, 2.98)","(129.88, 9.92)","(37.88, 9.62)","(130.01, 9.84)"
mfmb_net,"(61.52, 10.06)","(66.12, 3.91)","(61.23, 11.5)","(65.78, 5.3)","(25.32, 3.49)","(24.1, 3.62)","(134.86, 24.58)","(44.9, 3.69)","(134.92, 25.14)"
mfmb_net,"(66.81, 2.51)","(67.3, 1.76)","(66.77, 2.8)","(67.14, 2.06)","(22.79, 1.85)","(22.11, 1.45)","(124.24, 4.4)","(44.99, 1.58)","(124.16, 4.36)"
mfmb_net,"(61.81, 7.19)","(65.09, 3.2)","(61.18, 8.12)","(64.35, 4.13)","(19.68, 1.96)","(18.9, 1.62)","(131.27, 5.67)","(46.22, 1.66)","(131.7, 5.66)"
mfmb_net,"(57.53, 10.3)","(63.19, 5.38)","(56.76, 11.39)","(62.4, 6.42)","(23.42, 4.6)","(22.64, 4.15)","(130.58, 12.33)","(41.62, 10.2)","(130.83, 12.26)"
mfmb_net,"(64.87, 6.65)","(66.82, 3.92)","(64.99, 7.87)","(66.83, 5.15)","(24.59, 5.86)","(22.65, 4.27)","(125.01, 9.74)","(44.98, 3.06)","(124.9, 9.61)"
mfmb_net,"(68.03, 1.01)","(68.22, 0.74)","(68.55, 1.69)","(68.61, 1.43)","(25.75, 6.8)","(24.1, 5.4)","(121.21, 8.16)","(46.63, 1.87)","(120.92, 8.37)"
mfmb_net,"(68.13, 2.01)","(68.31, 1.85)","(68.39, 2.49)","(68.45, 2.37)","(24.05, 3.78)","(23.23, 3.57)","(122.42, 6.03)","(44.2, 2.16)","(122.57, 6.33)"
mfmb_net,"(60.35, 2.02)","(61.87, 2.14)","(59.91, 1.81)","(61.31, 1.88)","(19.1, 1.14)","(18.8, 0.83)","(132.43, 4.14)","(37.97, 10.75)","(132.44, 4.43)"
mfmb_net,"(66.81, 2.51)","(67.3, 1.76)","(66.77, 2.8)","(67.14, 2.06)","(22.79, 1.85)","(22.11, 1.45)","(124.24, 4.4)","(44.99, 1.58)","(124.16, 4.36)"
mfmb_net,"(68.95, 0.86)","(69.13, 0.84)","(70.12, 0.69)","(70.19, 0.81)","(26.29, 2.02)","(25.37, 1.56)","(116.68, 1.39)","(46.7, 2.08)","(116.71, 0.96)"
mfmb_net,"(58.02, 10.43)","(63.43, 5.49)","(57.47, 11.88)","(62.83, 6.94)","(22.3, 6.6)","(21.67, 5.82)","(131.99, 11.18)","(39.08, 8.58)","(132.17, 11.58)"
mfmb_net,"(67.64, 1.49)","(67.79, 1.56)","(68.65, 1.87)","(68.68, 1.99)","(28.86, 0.86)","(26.73, 0.18)","(118.86, 3.16)","(45.9, 0.81)","(118.79, 3.35)"
mfmb_net,"(69.53, 0.0)","(69.66, 0.0)","(70.73, 0.0)","(70.76, 0.0)","(30.76, 0.0)","(26.97, 0.0)","(116.36, 0.0)","(45.67, 0.0)","(116.22, 0.0)"
