Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,AlignLoss
mfmb_net,"(77.98, 1.95)","(78.57, 1.53)","(80.03, 1.79)","(80.48, 1.55)","(43.5, 4.6)","(36.76, 5.1)","(89.49, 5.7)","(73.08, 0.24)","(89.49, 5.7)","(1.07, 0.9)"
mfmb_net,"(79.17, 0.21)","(79.26, 0.31)","(80.85, 0.58)","(80.87, 0.67)","(44.54, 3.24)","(38.04, 1.74)","(86.63, 2.08)","(72.84, 0.85)","(86.63, 2.08)","(0.56, 0.38)"
