Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(70.98, 0.0)","(70.95, 0.0)","(71.5, 0.0)","(71.36, 0.0)","(35.27, 0.0)","(29.61, 0.0)","(109.78, 0.0)","(58.01, 0.0)","(109.78, 0.0)"
mfmb_net,"(70.98, 0.0)","(70.95, 0.0)","(71.5, 0.0)","(71.36, 0.0)","(35.27, 0.0)","(29.61, 0.0)","(109.78, 0.0)","(58.01, 0.0)","(109.78, 0.0)"
mfmb_net,"(70.98, 0.0)","(70.95, 0.0)","(71.5, 0.0)","(71.36, 0.0)","(35.27, 0.0)","(29.61, 0.0)","(109.78, 0.0)","(58.01, 0.0)","(109.78, 0.0)"
mfmb_net,"(70.98, 0.0)","(70.95, 0.0)","(71.5, 0.0)","(71.36, 0.0)","(35.27, 0.0)","(29.61, 0.0)","(109.78, 0.0)","(58.01, 0.0)","(109.78, 0.0)"
mfmb_net,"(74.4, 0.0)","(74.94, 0.0)","(76.17, 0.0)","(76.58, 0.0)","(34.52, 0.0)","(30.8, 0.0)","(100.42, 0.0)","(61.41, 0.0)","(100.42, 0.0)"
mfmb_net,"(73.96, 0.0)","(74.34, 0.0)","(75.58, 0.0)","(75.87, 0.0)","(40.18, 0.0)","(34.82, 0.0)","(96.89, 0.0)","(61.64, 0.0)","(96.89, 0.0)"
mfmb_net,"(73.81, 0.0)","(73.73, 0.0)","(74.3, 0.0)","(74.12, 0.0)","(33.33, 0.0)","(30.8, 0.0)","(103.62, 0.0)","(61.07, 0.0)","(103.62, 0.0)"
mfmb_net,"(72.77, 0.0)","(72.9, 0.0)","(73.99, 0.0)","(74.04, 0.0)","(34.38, 0.0)","(31.25, 0.0)","(100.61, 0.0)","(60.56, 0.0)","(100.61, 0.0)"
mfmb_net,"(72.27, 1.33)","(72.68, 1.34)","(73.16, 1.18)","(73.43, 1.49)","(33.38, 1.89)","(29.21, 0.46)","(107.58, 3.27)","(60.33, 2.23)","(107.58, 3.27)"
mfmb_net,"(73.21, 1.28)","(73.42, 1.42)","(74.1, 2.13)","(74.2, 2.27)","(32.79, 1.26)","(28.97, 1.73)","(110.03, 10.72)","(60.4, 0.97)","(110.03, 10.72)"
mfmb_net,"(74.9, 0.79)","(75.4, 0.97)","(76.87, 1.15)","(77.23, 1.3)","(38.39, 1.27)","(33.43, 0.98)","(96.73, 1.43)","(62.74, 2.25)","(96.73, 1.43)"
mfmb_net,"(73.76, 1.16)","(73.71, 1.14)","(74.26, 1.7)","(74.11, 1.7)","(33.73, 0.56)","(30.5, 0.64)","(106.15, 2.24)","(60.74, 0.24)","(106.15, 2.24)"
mfmb_net,"(73.96, 0.92)","(74.05, 0.86)","(75.09, 0.78)","(75.11, 0.75)","(34.08, 3.29)","(31.25, 2.19)","(99.84, 1.56)","(61.45, 0.64)","(99.84, 1.56)"
mfmb_net,"(70.98, 0.0)","(70.95, 0.0)","(71.5, 0.0)","(71.36, 0.0)","(35.27, 0.0)","(29.61, 0.0)","(109.78, 0.0)","(58.01, 0.0)","(109.78, 0.0)"
mfmb_net,"(71.14, 0.0)","(71.53, 0.0)","(70.88, 0.0)","(71.14, 0.0)","(34.11, 0.0)","(31.2, 0.0)","(110.56, 0.0)","(62.58, 0.0)","(110.08, 0.0)"
mfmb_net,"(72.3, 1.09)","(72.87, 0.98)","(72.92, 1.45)","(73.34, 1.65)","(32.94, 1.35)","(29.74, 1.04)","(107.7, 3.85)","(61.67, 1.32)","(107.45, 4.02)"
mfmb_net,"(73.76, 1.4)","(73.95, 1.45)","(74.49, 2.01)","(74.57, 2.13)","(34.06, 1.55)","(29.93, 2.54)","(108.46, 10.99)","(61.13, 1.3)","(108.28, 10.65)"
mfmb_net,"(74.83, 0.55)","(75.18, 0.52)","(76.47, 0.61)","(76.73, 0.59)","(39.89, 1.82)","(34.35, 1.0)","(97.24, 0.51)","(62.02, 0.89)","(97.07, 0.41)"
mfmb_net,"(73.62, 1.07)","(73.58, 1.05)","(74.09, 1.62)","(73.95, 1.61)","(33.62, 0.68)","(30.47, 0.6)","(106.1, 2.24)","(60.53, 0.26)","(106.05, 2.24)"
mfmb_net,"(73.81, 0.72)","(73.91, 0.67)","(74.95, 0.61)","(74.97, 0.6)","(34.21, 3.16)","(31.29, 2.16)","(100.08, 1.64)","(61.48, 0.56)","(100.24, 1.72)"
mfmb_net,"(74.0, 0.38)","(74.01, 0.4)","(74.85, 0.62)","(74.77, 0.67)","(38.87, 1.02)","(34.6, 0.55)","(101.56, 2.66)","(62.06, 0.09)","(101.38, 2.68)"
mfmb_net,"(72.16, 1.64)","(72.52, 1.55)","(73.32, 2.27)","(73.56, 2.26)","(31.87, 1.43)","(29.69, 0.88)","(108.03, 4.11)","(59.68, 1.28)","(108.09, 4.32)"
mfmb_net,"(71.52, 5.03)","(72.34, 4.37)","(72.16, 5.82)","(72.84, 5.21)","(29.93, 6.74)","(26.72, 4.37)","(110.93, 11.67)","(58.47, 3.17)","(110.85, 11.93)"
