Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(78.28, 1.16)","(78.26, 1.2)","(79.54, 1.42)","(79.46, 1.46)","(42.85, 2.31)","(36.21, 0.51)","(92.22, 3.17)","(70.67, 0.48)","(92.22, 3.17)"
mfmb_net,"(78.62, 0.51)","(78.67, 0.64)","(80.19, 0.67)","(80.17, 0.78)","(40.43, 3.18)","(33.78, 1.06)","(93.27, 1.33)","(70.12, 0.59)","(93.27, 1.33)"
