dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.400000,dynamic_rta,full,trainDL1_evalDL0_testDL0,dynamic_rta,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.010000,0.500000,learned,1,0.800000,0.050000,1,1,1,1,24,24,24,results/auto_anchor_runs_rta_gate_ablation/rta_router_analysis,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta_gate_ablation/logs/mosi_m0.4_dynamic_rta_seed111_trainDL1_evalDL0_testDL0_full.log,mosi_m0.4_dynamic_rta_seed111_trainDL1_evalDL0_testDL0_20260525_1252,0.708500,0.715500,0.725600,0.731300,0.284300,0.271100,1.103300,0.544400,1.100000
mosi,0.500000,dynamic_rta,full,trainDL1_evalDL0_testDL0,dynamic_rta,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.010000,0.500000,learned,1,0.800000,0.050000,1,1,1,1,24,24,24,results/auto_anchor_runs_rta_gate_ablation/rta_router_analysis,1272.000000,229.000000,686.000000,success,results/auto_anchor_runs_rta_gate_ablation/logs/mosi_m0.5_dynamic_rta_seed111_trainDL1_evalDL0_testDL0_full.log,mosi_m0.5_dynamic_rta_seed111_trainDL1_evalDL0_testDL0_20260525_1257,0.695300,0.696600,0.707300,0.707600,0.307600,0.269700,1.163600,0.456700,1.162200
