missing,best_MAE_method,best_MAE,best_Corr_method,best_Corr,best_Non0_acc_2_method,best_Non0_acc_2,best_Non0_F1_method,best_Non0_F1
0.400000,dynamic_rta,1.103300,dynamic_rta,0.544400,dynamic_rta,0.725600,dynamic_rta,0.731300
0.500000,dynamic_rta,1.163600,dynamic_rta,0.456700,dynamic_rta,0.707300,dynamic_rta,0.707600
