method_name,metric,r_lo,r_hi,slope
text_mstcn,Has0_acc_2,0.25,0.3,-0.4180000000000007
text_mstcn,Has0_acc_2,0.3,0.35,-0.4179999999999985
text_mstcn,Has0_acc_2,0.35,0.4,-0.30199999999999977
text_mstcn,Has0_acc_2,0.4,0.45,-0.34000000000000036
text_mstcn,Has0_acc_2,0.45,0.5,-0.8260000000000003
text_mstcn,Has0_acc_2,0.5,0.55,0.49600000000000044
text_mstcn,Has0_acc_2,0.55,0.6,-1.5560000000000038
text_mstcn,Has0_F1_score,0.0,0.1,-0.3060000000000007
text_mstcn,Has0_F1_score,0.1,0.15,-0.33799999999999836
text_mstcn,Has0_F1_score,0.15,0.2,-0.4639999999999998
text_mstcn,Has0_F1_score,0.2,0.25,0.14799999999999927
text_mstcn,Has0_F1_score,0.25,0.3,-0.4159999999999987
text_mstcn,Has0_F1_score,0.3,0.35,-0.41200000000000137
text_mstcn,Has0_F1_score,0.35,0.4,-0.33599999999999824
text_mstcn,Has0_F1_score,0.4,0.45,-0.30800000000000166
text_mstcn,Has0_F1_score,0.45,0.5,-0.6599999999999985
text_mstcn,Has0_F1_score,0.5,0.55,0.2879999999999991
text_mstcn,Has0_F1_score,0.55,0.6,-0.41600000000000137
text_mstcn,Non0_acc_2,0.0,0.1,-0.22400000000000198
text_mstcn,Non0_acc_2,0.1,0.15,-0.4459999999999976
text_mstcn,Non0_acc_2,0.15,0.2,-0.4980000000000005
text_mstcn,Non0_acc_2,0.2,0.25,0.2119999999999989
text_mstcn,Non0_acc_2,0.25,0.3,-0.4159999999999987
text_mstcn,Non0_acc_2,0.3,0.35,-0.5699999999999995
text_mstcn,Non0_acc_2,0.35,0.4,-0.40599999999999936
text_mstcn,Non0_acc_2,0.4,0.45,-0.3160000000000008
text_mstcn,Non0_acc_2,0.45,0.5,-0.9640000000000006
text_mstcn,Non0_acc_2,0.5,0.55,0.68
text_mstcn,Non0_acc_2,0.55,0.6,-1.818000000000002
text_mstcn,Non0_F1_score,0.0,0.1,-0.2090000000000003
text_mstcn,Non0_F1_score,0.1,0.15,-0.401999999999998
text_mstcn,Non0_F1_score,0.15,0.2,-0.564000000000002
text_mstcn,Non0_F1_score,0.2,0.25,0.23199999999999893
text_mstcn,Non0_F1_score,0.25,0.3,-0.4159999999999987
text_mstcn,Non0_F1_score,0.3,0.35,-0.5620000000000004
text_mstcn,Non0_F1_score,0.35,0.4,-0.44399999999999956
text_mstcn,Non0_F1_score,0.4,0.45,-0.2840000000000021
text_mstcn,Non0_F1_score,0.45,0.5,-0.8019999999999985
text_mstcn,Non0_F1_score,0.5,0.55,0.4760000000000004
text_mstcn,Non0_F1_score,0.55,0.6,-0.6660000000000008
text_mstcn,Mult_acc_5,0.0,0.1,-1.1520000000000001
text_mstcn,Mult_acc_5,0.1,0.15,0.5659999999999988
text_mstcn,Mult_acc_5,0.15,0.2,-0.9239999999999989
text_mstcn,Mult_acc_5,0.2,0.25,0.0780000000000003
text_mstcn,Mult_acc_5,0.25,0.3,0.8360000000000003
text_mstcn,Mult_acc_5,0.3,0.35,-2.110000000000001
text_mstcn,Mult_acc_5,0.35,0.4,0.3020000000000009
text_mstcn,Mult_acc_5,0.4,0.45,-0.6320000000000005
text_mstcn,Mult_acc_5,0.45,0.5,-0.8940000000000006
text_mstcn,Mult_acc_5,0.5,0.55,0.7879999999999991
text_mstcn,Mult_acc_5,0.55,0.6,-1.0500000000000012
text_mstcn,Mult_acc_7,0.0,0.1,-0.8309999999999995
