objective_name,best_tau1,best_tau2,objective_value,policy_definition
max_auilc_Mult_acc_7,0.2,0.55,0.19047458333333334,if r <= 0.2: dynamic_rule; elif r <= 0.55: text_mstcn; else: text
max_auilc_composite_normalized,0.2,0.55,0.9520568642041847,if r <= 0.2: dynamic_rule; elif r <= 0.55: text_mstcn; else: text
