method_name,metric,mean_slope_all_segments,mean_abs_slope_all_segments
text,Has0_acc_2,-0.28142045454545456,0.5434810606060619
text,Has0_F1_score,-0.27963636363636385,0.41387878787878735
text,Non0_acc_2,-0.2952310606060609,0.6430492424242433
text,Non0_F1_score,-0.29387121212121203,0.5147803030303032
text,Mult_acc_5,-0.37231060606060606,0.6666742424242424
text,Mult_acc_7,-0.2657537878787879,0.5310871212121214
text,MAE,0.737174242424242,1.3833560606060604
text,Corr,-0.6667424242424241,0.6667424242424241
text,Loss,0.7310378787878786,1.393462121212121
text_mstcn,Has0_acc_2,-0.39454545454545487,0.5080000000000002
text_mstcn,Has0_F1_score,-0.2927272727272727,0.3719999999999997
text_mstcn,Non0_acc_2,-0.4332727272727274,0.5954545454545455
text_mstcn,Non0_F1_score,-0.33100000000000007,0.4597272727272726
text_mstcn,Mult_acc_5,-0.3810909090909094,0.8483636363636364
text_mstcn,Mult_acc_7,-0.30354545454545473,0.5879090909090909
text_mstcn,MAE,0.8840000000000005,1.2069090909090907
text_mstcn,Corr,-0.8843636363636365,0.8843636363636365
text_mstcn,Loss,0.8808181818181828,1.2106363636363646
dynamic_rule,Has0_acc_2,-0.30118181818181816,0.4437878787878784
dynamic_rule,Has0_F1_score,-0.30445454545454526,0.4164545454545451
dynamic_rule,Non0_acc_2,-0.3225454545454545,0.4984848484848485
dynamic_rule,Non0_F1_score,-0.32642424242424234,0.4755151515151516
dynamic_rule,Mult_acc_5,-0.41618181818181826,0.4295757575757575
dynamic_rule,Mult_acc_7,-0.3124848484848486,0.36927272727272736
dynamic_rule,MAE,0.8251818181818181,0.9585151515151505
dynamic_rule,Corr,-0.7170909090909091,0.7170909090909091
dynamic_rule,Loss,0.8205151515151516,0.9564545454545456
dynamic_lte_mstcn,Has0_acc_2,,
dynamic_lte_mstcn,Has0_F1_score,,
dynamic_lte_mstcn,Non0_acc_2,,
dynamic_lte_mstcn,Non0_F1_score,,
dynamic_lte_mstcn,Mult_acc_5,,
dynamic_lte_mstcn,Mult_acc_7,,
dynamic_lte_mstcn,MAE,,
dynamic_lte_mstcn,Corr,,
dynamic_lte_mstcn,Loss,,
regime_policy,Has0_acc_2,-0.28790909090909106,0.3942727272727277
regime_policy,Has0_F1_score,-0.28663636363636374,0.3575454545454544
regime_policy,Non0_acc_2,-0.3069090909090911,0.4656363636363636
regime_policy,Non0_F1_score,-0.306060606060606,0.4300606060606056
regime_policy,Mult_acc_5,-0.38700000000000023,0.7371818181818185
regime_policy,Mult_acc_7,-0.27721212121212147,0.5404848484848487
regime_policy,MAE,0.7653636363636361,1.0948181818181808
regime_policy,Corr,-0.6885454545454546,0.6885454545454546
regime_policy,Loss,0.76069696969697,1.0976060606060605
