Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mfmb_net,"(58.89, 5.11)","(62.65, 2.11)","(58.18, 6.0)","(61.85, 2.99)","(21.28, 2.83)","(20.46, 2.28)","(137.36, 10.49)","(43.72, 3.02)","(136.63, 10.63)"
mfmb_net,"(58.89, 5.11)","(62.65, 2.11)","(58.18, 6.0)","(61.85, 2.99)","(21.28, 2.83)","(20.46, 2.28)","(137.36, 10.49)","(43.72, 3.02)","(136.63, 10.63)"
mfmb_net,"(69.39, 0.86)","(69.77, 1.1)","(70.53, 0.85)","(70.81, 1.23)","(27.7, 0.12)","(26.63, 0.3)","(115.13, 2.07)","(46.42, 2.62)","(114.3, 1.86)"
mfmb_net,"(69.39, 0.86)","(69.77, 1.1)","(70.53, 0.85)","(70.81, 1.23)","(27.7, 0.12)","(26.63, 0.3)","(115.13, 2.07)","(46.42, 2.62)","(114.3, 1.86)"
