modality,metric,baseline,drop_at_max_missing,avg_drop_auc,sensitivity_score
text,Corr,0.7843000000000001,0.6309000000000001,0.3180125000000001,0.3180125000000001
audio,Corr,0.7843000000000001,0.012300000000000089,0.010537500000000102,0.010537500000000102
vision,Corr,0.7843000000000001,0.0,,
