objective_name,best_tau1,best_tau2,objective_value,policy_definition
max_auilc_Mult_acc_7,0.0,0.0,0.2970325,if r <= 0: dynamic_rule; elif r <= 0: text_mstcn; else: text
max_auilc_composite_normalized,0.0,0.0,0.9778026105075432,if r <= 0: dynamic_rule; elif r <= 0: text_mstcn; else: text
