method_name,metric,mean_slope_all_segments,mean_abs_slope_all_segments
text,Has0_acc_2,-0.17645454545454556,1.1897272727272716
text,Has0_F1_score,-0.20154545454545483,1.4180909090909097
text,Non0_acc_2,-0.1280000000000001,0.343272727272727
text,Non0_F1_score,-0.14590909090909107,0.43227272727272764
text,Mult_acc_5,-0.16290909090909095,0.18327272727272706
text,Mult_acc_7,-0.1463636363636364,0.16418181818181787
text,MAE,0.26772727272727265,0.2877272727272729
text,Corr,-0.35509090909090896,0.35509090909090896
text,Loss,0.2667272727272726,0.28781818181818175
text_mstcn,Has0_acc_2,-0.09981818181818185,0.7460000000000003
text_mstcn,Has0_F1_score,-0.08890909090909103,0.9176363636363642
text_mstcn,Non0_acc_2,-0.16181818181818197,0.2810909090909082
text_mstcn,Non0_F1_score,-0.14845454545454556,0.30372727272727346
text_mstcn,Mult_acc_5,-0.13499999999999995,0.18009090909090894
text_mstcn,Mult_acc_7,-0.11345454545454535,0.15636363636363637
text_mstcn,MAE,0.2451818181818182,0.26263636363636333
text_mstcn,Corr,-0.3592727272727273,0.3592727272727273
text_mstcn,Loss,0.2456363636363636,0.26345454545454544
dynamic_rule,Has0_acc_2,-0.13127272727272704,0.6803636363636371
dynamic_rule,Has0_F1_score,-0.12818181818181792,0.7270909090909091
dynamic_rule,Non0_acc_2,-0.16290909090909078,0.37309090909090903
dynamic_rule,Non0_F1_score,-0.15554545454545454,0.3648181818181822
dynamic_rule,Mult_acc_5,-0.12145454545454558,0.19672727272727245
dynamic_rule,Mult_acc_7,-0.1038181818181818,0.1630909090909088
dynamic_rule,MAE,0.23872727272727293,0.27145454545454567
dynamic_rule,Corr,-0.3673636363636364,0.3673636363636364
dynamic_rule,Loss,0.2393636363636366,0.2720909090909094
dynamic_lte_mstcn,Has0_acc_2,-0.03454545454545491,0.4825454545454548
dynamic_lte_mstcn,Has0_F1_score,-0.019636363636364028,0.608363636363637
dynamic_lte_mstcn,Non0_acc_2,-0.12109090909090926,0.3349090909090914
dynamic_lte_mstcn,Non0_F1_score,-0.10609090909090936,0.32445454545454544
dynamic_lte_mstcn,Mult_acc_5,-0.14854545454545454,0.23799999999999988
dynamic_lte_mstcn,Mult_acc_7,-0.1262727272727271,0.22372727272727255
dynamic_lte_mstcn,MAE,0.2507272727272725,0.34090909090909055
dynamic_lte_mstcn,Corr,-0.3714545454545454,0.3714545454545454
dynamic_lte_mstcn,Loss,0.25045454545454526,0.33845454545454534
regime_policy,Has0_acc_2,-0.2346363636363636,1.1315454545454537
regime_policy,Has0_F1_score,-0.26109090909090926,1.3585454545454554
regime_policy,Non0_acc_2,-0.16509090909090923,0.3803636363636361
regime_policy,Non0_F1_score,-0.18354545454545468,0.43518181818181834
regime_policy,Mult_acc_5,-0.16581818181818184,0.18618181818181798
regime_policy,Mult_acc_7,-0.14599999999999996,0.16381818181818145
regime_policy,MAE,0.2648181818181817,0.2848181818181819
regime_policy,Corr,-0.3522727272727273,0.3522727272727273
regime_policy,Loss,0.26390909090909076,0.2849999999999999
