method_name,metric,r_lo,r_hi,slope
text_mstcn,Non0_F1_score,0.1,0.15,
text_mstcn,Non0_F1_score,0.15,0.2,
text_mstcn,Non0_F1_score,0.2,0.25,
text_mstcn,Non0_F1_score,0.25,0.3,
text_mstcn,Non0_F1_score,0.3,0.35,
text_mstcn,Non0_F1_score,0.35,0.4,
text_mstcn,Non0_F1_score,0.4,0.45,
text_mstcn,Non0_F1_score,0.45,0.5,
text_mstcn,Non0_F1_score,0.5,0.55,
text_mstcn,Non0_F1_score,0.55,0.6,
text_mstcn,Mult_acc_5,0.0,0.1,-0.33499999999999974
text_mstcn,Mult_acc_5,0.1,0.15,
text_mstcn,Mult_acc_5,0.15,0.2,
text_mstcn,Mult_acc_5,0.2,0.25,
text_mstcn,Mult_acc_5,0.25,0.3,
text_mstcn,Mult_acc_5,0.3,0.35,
text_mstcn,Mult_acc_5,0.35,0.4,
text_mstcn,Mult_acc_5,0.4,0.45,
text_mstcn,Mult_acc_5,0.45,0.5,
text_mstcn,Mult_acc_5,0.5,0.55,
text_mstcn,Mult_acc_5,0.55,0.6,
text_mstcn,Mult_acc_7,0.0,0.1,-0.3479999999999994
text_mstcn,Mult_acc_7,0.1,0.15,
text_mstcn,Mult_acc_7,0.15,0.2,
text_mstcn,Mult_acc_7,0.2,0.25,
text_mstcn,Mult_acc_7,0.25,0.3,
text_mstcn,Mult_acc_7,0.3,0.35,
text_mstcn,Mult_acc_7,0.35,0.4,
text_mstcn,Mult_acc_7,0.4,0.45,
text_mstcn,Mult_acc_7,0.45,0.5,
text_mstcn,Mult_acc_7,0.5,0.55,
text_mstcn,Mult_acc_7,0.55,0.6,
text_mstcn,MAE,0.0,0.1,0.6109999999999993
text_mstcn,MAE,0.1,0.15,
text_mstcn,MAE,0.15,0.2,
text_mstcn,MAE,0.2,0.25,
text_mstcn,MAE,0.25,0.3,
text_mstcn,MAE,0.3,0.35,
text_mstcn,MAE,0.35,0.4,
text_mstcn,MAE,0.4,0.45,
text_mstcn,MAE,0.45,0.5,
text_mstcn,MAE,0.5,0.55,
text_mstcn,MAE,0.55,0.6,
text_mstcn,Corr,0.0,0.1,-0.4960000000000009
text_mstcn,Corr,0.1,0.15,
text_mstcn,Corr,0.15,0.2,
text_mstcn,Corr,0.2,0.25,
text_mstcn,Corr,0.25,0.3,
text_mstcn,Corr,0.3,0.35,
text_mstcn,Corr,0.35,0.4,
text_mstcn,Corr,0.4,0.45,
text_mstcn,Corr,0.45,0.5,
text_mstcn,Corr,0.5,0.55,
text_mstcn,Corr,0.55,0.6,
