metric,baseline_auilc,mide_auilc,delta_mide_minus_baseline,higher_is_better,mide_wins
MAE,-48.76050000000001,-51.0495,2.2889999999999944,False,False
Corr,31.777,31.357,-0.4200000000000017,True,False
Has0_acc_2,37.047,37.003,-0.04399999999999693,True,False
Has0_F1_score,37.190000000000005,37.057,-0.13300000000000267,True,False
Non0_acc_2,37.658,37.447500000000005,-0.21049999999999613,True,False
Non0_F1_score,37.747,37.4525,-0.2944999999999993,True,False
Mult_acc_5,18.905499999999996,17.535,-1.3704999999999963,True,False
Mult_acc_7,17.0295,16.0125,-1.0169999999999995,True,False
