range,MAE_AUILC,Corr_AUILC,Non0_acc_2_AUILC,Non0_F1_AUILC,Mult_acc_5_AUILC,Mult_acc_7_AUILC
0.0~1.0,1.1828699999999999,0.43458159999999996,0.66917825,0.68638175,0.28376655,0.26201835
0.1~0.5,0.41586325,0.24081169999999996,0.2985733,0.29881,0.1382583,0.12414335
0.6~1.0,0.5539801000000001,0.07997990000000002,0.22309495000000001,0.23930175000000004,0.0792299,0.07782
