dataset,missing,mode,phase,protocol_tag,fusion_center_mode,use_anchor_moe,seed,train_drop_last,eval_drop_last,test_drop_last,task_router_lambda,center_aux_lambda,router_oracle_temperature,router_oracle_type,router_missing_bias,gate_balance_lambda,gate_target,rta_gate_mode,use_prediction_gate_supervision,gate_oracle_temperature,gate_task_lambda,use_task_aware_router,use_reliability_task_gate,export_anchor_weights,export_task_router_info,train_batch_size,eval_batch_size,test_batch_size,output_dir,effective_train_samples,effective_valid_samples,effective_test_samples,status,log_path,run_id,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss
mosi,0.600000,vision,full,trainDL1_evalDL0_testDL0,vision,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_vision_seed1111_trainDL1_evalDL0_testDL0_20260526_0656,0.641400,0.640500,0.643300,0.641200,0.177800,0.177800,1.318300,0.391000,1.316500
mosi,0.600000,vision,full,trainDL1_evalDL0_testDL0,vision,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.6_vision_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.6_vision_seed11111_trainDL1_evalDL0_testDL0_20260526_0656,0.628300,0.639000,0.625000,0.634300,0.170600,0.167600,1.337100,0.371900,1.339700
mosi,0.700000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_rta_pred_residual_seed111_trainDL1_evalDL0_testDL0_20260526_0840,0.632700,0.647900,0.646300,0.660300,0.259500,0.247800,1.229400,0.340600,1.227700
mosi,0.700000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_rta_pred_residual_seed1111_trainDL1_evalDL0_testDL0_20260526_0840,0.575800,0.577000,0.571600,0.571200,0.161800,0.161800,1.394600,0.143500,1.392800
mosi,0.700000,dynamic_rta_pred_residual,full,trainDL1_evalDL0_testDL0,dynamic_rta_pred_residual,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,1,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10/rta_pred_residual_analysis,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_rta_pred_residual_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_rta_pred_residual_seed11111_trainDL1_evalDL0_testDL0_20260526_0840,0.583100,0.604100,0.573200,0.592400,0.195300,0.195300,1.375500,0.289700,1.377100
mosi,0.700000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_soft_seed111_trainDL1_evalDL0_testDL0_20260526_0827,0.558300,0.567500,0.553400,0.561100,0.166200,0.166200,1.409100,0.159400,1.408400
mosi,0.700000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_soft_seed1111_trainDL1_evalDL0_testDL0_20260526_0827,0.460600,0.596200,0.439000,0.575400,0.153100,0.151600,1.687000,0.139600,1.680600
mosi,0.700000,dynamic_soft,full,trainDL1_evalDL0_testDL0,dynamic_soft,0,11111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_dynamic_soft_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_dynamic_soft_seed11111_trainDL1_evalDL0_testDL0_20260526_0827,0.657400,0.656900,0.669200,0.667500,0.246400,0.239100,1.275200,0.337900,1.277100
mosi,0.700000,text,full,trainDL1_evalDL0_testDL0,text,0,111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_text_seed111_trainDL1_evalDL0_testDL0_20260526_0748,0.641400,0.642200,0.650900,0.650500,0.259500,0.252200,1.261900,0.327200,1.260700
mosi,0.700000,text,full,trainDL1_evalDL0_testDL0,text,0,1111,1,0,0,0.100000,0.050000,0.800000,soft,2.000000,0.000000,0.500000,learned,1,0.800000,0.020000,0,1,1,1,24,24,24,results/auto_anchor_runs_stress_06_10,1272.000000,229.000000,686.000000,success,"results/auto_anchor_runs_stress_06_10/logs/mosi_m0.7_text_seed111,1111,11111_trainDL1_evalDL0_testDL0_full.log",mosi_m0.7_text_seed1111_trainDL1_evalDL0_testDL0_20260526_0748,0.664700,0.665500,0.676800,0.676400,0.204100,0.201200,1.300900,0.337100,1.306800
